"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню","1. Загальна кількість ліжок в закладі (ліжковий фонд)","1.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","1.1.1. з них реанімаційних/інтенсивної терапії","2. Ліжок виділено для госпіталізації хворих на COVID-19 загалом","2.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","2.1.1. з них реанімаційних/ інтенсивної терапії","2.2. з них дитячих","2.3. з них пологових","3. Ліжок для перепрофілювання загалом","3.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","3.1.1. з них реанімаційних/ інтенсивної терапії","1. Пацієнтів, хорих на COVID-19, загалом","1.1. з них, які займають ліжка без кисню (з переліку виділених для госпіталізації хворих на COVID-19)","1.2. з них, які займають дитячі ліжка","1.3. з них, які займають пологові ліжка","1.4. з них, які займають ліжка з підведеним киснем","1.4.1. з них, які займають ліжка реанімаційні/інтенсивної терапії ","2. Пацієнтів загалом з підозрою на COVID-19","2.1. з них, які займають дитячі ліжка","2.2. з них, які займають пологові ліжка","2.3. з них, які займають ліжка з підведеним киснем","3. Пацієнтів, хворих на COVID-19, що підключено до ШВЛ","4.  Пацієнтів, хорих на COVID-19, що підключено до ЕКМО","5. Пацієнтів з підозрою на COVID-19, що підключено до ШВЛ","6. Пацієнтів з підозрою на COVID-19, що підключено до ЕКМО","7. Кількість госпіталізованих з підтвердженим COVID-19 та з підозрою (за добу)","8. Кількість ліжок, що звільнилась за добу (виписані у випадку одужання, померлі, переведені до іншого (нековідного) відділення всередині лік"
"455458","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","28.12.2020 0:00:00","282","28.12.2020 11:03:41","60","4","4","4","108","15","15","15","71","10","10","7","0","59","38","2","0","0","0","0","0","0","0","0","2","2","3","0","2","9","3","2","0","7","0","11","0","0","0","18","1","230","0","2000","10","3450","5","8250","50","0","0","136","0","463","0","5500","150","135","1","80","5","0","0","2800","0","8","2","0","1","1","180","165","10","180","165","10","0","0","0","0","0","59","0","0","0","59","5","44","0","0","44","4","0","1","0","1","2"
"456251","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","28.12.2020 0:00:00","283","28.12.2020 14:44:43","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","0","0","0","0","0","0","0","2","0","2","0","0","4","2","1","0","1","0","0","0","0","0","53","0","580","0","5760","0","1476","0","1000","0","950","0","248","0","350","0","7355","0","47","0","120","0","0","0","675","2","5","1","1","1","1","225","104","6","80","80","10","0","0","0","0","0","9","5","0","0","4","3","11","0","0","3","2","0","0","0","0","0"
"454926","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","28.12.2020 0:00:00","284","28.12.2020 8:29:30","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","0","0","0","0","0","0","0","8","3","0","0","3","5","0","2","0","4","1","13","0","0","0","37","0","760","40","1140","30","1230","10","9500","100","0","0","100","20","100","20","2400","50","160","10","60","0","0","0","0","0","6","3","2","1","1","190","134","8","130","128","8","0","0","0","0","0","46","35","0","0","11","3","26","0","0","4","3","0","0","0","1","0"
"456250","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","28.12.2020 0:00:00","285","28.12.2020 14:40:25","21","10","4","2","44","12","3","3","27","10","3","2","3","126","44","8","0","0","0","0","0","0","0","0","0","0","3","0","0","5","3","2","0","2","1","8","0","0","0","28","1","2667","0","2108","30","1690","10","18900","210","0","0","475","0","138","0","1050","100","196","0","17","2","0","0","1115","0","7","2","0","1","1","225","132","18","80","76","9","0","0","75","0","0","13","11","0","0","2","1","20","0","0","9","1","0","2","0","3","1"
"455311","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","28.12.2020 0:00:00","286","28.12.2020 10:22:14","23","16","8","2","48","26","15","11","48","26","15","11","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0","19","0","0","0","11","1","4400","20","1410","40","17","0","99100","200","0","0","60","20","40","0","50","0","840","20","135","0","0","0","140","0","8","2","0","1","1","215","117","9","145","117","8","0","0","0","0","0","13","10","0","0","3","1","28","0","0","4","0","0","0","0","4","1"
"455127","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","28.12.2020 0:00:00","287","28.12.2020 9:27:13","76","76","17","5","110","110","56","19","70","70","57","14","0","60","22","0","0","0","0","0","0","0","0","0","28","16","0","0","23","8","0","0","0","2","0","17","1","0","0","25","1","7200","120","10900","100","5240","120","4700","400","300","50","110","20","110","20","6100","200","300","10","79","1","0","0","1310","20","14","15","0","1","1","285","216","22","285","216","22","0","0","0","0","0","87","0","0","0","87","16","84","0","0","84","16","0","7","0","4","0"
"456246","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","28.12.2020 0:00:00","288","28.12.2020 14:29:28","15","5","4","1","32","6","3","3","20","6","3","3","5","68","17","5","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","3","0","0","0","13","0","1910","20","900","20","180","10","17400","200","0","0","0","0","100","10","20600","200","80","5","257","0","0","0","1354","0","4","2","0","1","1","100","86","6","80","80","8","0","0","0","0","0","3","0","0","0","3","0","4","0","0","4","0","0","0","0","0","0"
"456260","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","28.12.2020 0:00:00","289","28.12.2020 15:40:55","24","12","8","10","56","28","18","14","33","22","10","6","0","10","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","5","2","0","0","1","0","8","0","0","0","48","1","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","2500","0","110","0","350","2","0","0","360","26","8","2","2","1","1","193","124","14","130","124","8","0","0","0","0","0","12","8","0","0","4","1","20","0","0","10","1","0","0","0","6","0"
"456242","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","28.12.2020 0:00:00","290","28.12.2020 14:24:47","39","14","8","2","76","45","12","6","76","22","8","4","0","81","52","4","1","0","0","0","0","0","0","0","0","0","0","0","0","16","0","2","0","2","1","13","0","0","0","60","1","270","0","930","15","1825","15","3780","80","50","0","193","0","580","0","18284","90","192","2","127","0","0","0","1030","0","6","4","0","1","1","250","105","9","80","80","9","0","0","40","22","0","5","0","0","0","5","0","6","0","0","6","0","0","0","0","0","0"
"455302","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","28.12.2020 0:00:00","291","28.12.2020 10:19:56","16","16","4","2","39","34","5","5","29","24","4","4","4","26","11","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","6","1","1802","3","5124","11","2502","8","37400","100","0","0","307","0","204","0","16600","100","18","2","262","3","0","0","730","10","5","11","1","1","1","60","40","6","60","40","6","60","0","0","0","0","1","0","1","0","1","0","43","43","0","39","0","0","0","0","1","10"
