"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню","1. Загальна кількість ліжок в закладі (ліжковий фонд)","1.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","1.1.1. з них реанімаційних/інтенсивної терапії","2. Ліжок виділено для госпіталізації хворих на COVID-19 загалом","2.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","2.1.1. з них реанімаційних/ інтенсивної терапії","2.2. з них дитячих","2.3. з них пологових","3. Ліжок для перепрофілювання загалом","3.1. з них з підведеним киснем (сумарно з концентраторами та централізованим постачанням)","3.1.1. з них реанімаційних/ інтенсивної терапії","1. Пацієнтів, хорих на COVID-19, загалом","1.1. з них, які займають ліжка без кисню (з переліку виділених для госпіталізації хворих на COVID-19)","1.2. з них, які займають дитячі ліжка","1.3. з них, які займають пологові ліжка","1.4. з них, які займають ліжка з підведеним киснем","1.4.1. з них, які займають ліжка реанімаційні/інтенсивної терапії ","2. Пацієнтів загалом з підозрою на COVID-19","2.1. з них, які займають дитячі ліжка","2.2. з них, які займають пологові ліжка","2.3. з них, які займають ліжка з підведеним киснем","3. Пацієнтів, хворих на COVID-19, що підключено до ШВЛ","4.  Пацієнтів, хорих на COVID-19, що підключено до ЕКМО","5. Пацієнтів з підозрою на COVID-19, що підключено до ШВЛ","6. Пацієнтів з підозрою на COVID-19, що підключено до ЕКМО","7. Кількість госпіталізованих з підтвердженим COVID-19 та з підозрою (за добу)","8. Кількість ліжок, що звільнилась за добу (виписані у випадку одужання, померлі, переведені до іншого (нековідного) відділення всередині лік"
"458095","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","29.12.2020 0:00:00","282","29.12.2020 14:24:51","60","13","13","3","108","21","21","15","71","15","14","7","0","59","38","2","0","0","0","0","0","0","0","0","2","2","3","0","2","9","3","2","0","7","0","11","0","0","0","20","1","230","0","1944","56","3436","14","7930","320","0","0","136","0","463","0","5200","300","132","3","80","0","0","0","2600","200","8","2","0","1","1","180","179","10","180","179","10","0","0","0","0","0","47","0","0","0","47","3","33","0","0","41","4","0","1","0","2","25"
"457557","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","29.12.2020 0:00:00","283","29.12.2020 9:34:18","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","0","0","0","0","0","0","0","2","0","2","0","0","4","2","1","0","1","0","0","0","0","0","53","0","540","40","5710","50","1446","30","10000","1000","950","0","248","0","350","0","7050","305","45","2","119","1","0","0","665","10","5","1","1","1","1","225","104","6","80","80","10","0","0","0","0","0","9","4","0","0","5","4","14","0","0","4","1","0","1","0","6","2"
"457367","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","29.12.2020 0:00:00","284","29.12.2020 8:35:56","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","0","0","0","0","0","0","0","8","2","0","0","2","5","0","2","0","4","1","13","0","0","0","37","0","740","40","1120","30","1220","10","9400","100","0","0","100","20","100","20","2300","50","150","10","60","0","0","0","0","0","6","3","2","1","1","190","134","8","130","128","8","0","0","0","0","0","39","22","0","0","17","2","29","0","0","2","2","0","0","0","11","0"
"457618","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","29.12.2020 0:00:00","285","29.12.2020 9:50:04","21","10","4","2","44","12","3","3","27","10","3","2","3","126","44","8","0","0","0","0","0","0","0","0","0","0","3","0","0","5","3","2","0","2","1","8","0","0","0","28","1","2667","0","2085","15","1680","0","18860","40","0","0","475","0","138","0","950","100","196","0","15","2","0","0","1095","20","7","2","0","1","1","225","132","18","80","76","9","0","0","75","0","0","15","12","0","0","2","1","20","0","0","2","1","0","2","0","8","6"
"457716","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","29.12.2020 0:00:00","286","29.12.2020 10:15:19","23","16","8","2","48","26","15","11","48","26","15","11","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0","19","0","0","0","21","1","4380","20","1370","40","17","0","98900","200","0","0","40","20","20","20","0","50","820","20","135","0","0","0","140","0","8","2","0","1","1","215","117","9","145","117","8","0","0","0","0","0","16","14","0","0","2","1","23","0","0","5","0","0","0","0","6","8"
"457414","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","29.12.2020 0:00:00","287","29.12.2020 8:53:08","76","76","17","5","110","110","56","19","70","70","57","14","0","60","22","0","0","0","0","0","0","0","0","0","28","19","0","0","20","8","0","0","0","2","0","17","1","0","0","25","1","7080","120","10800","100","5120","120","4300","400","300","50","110","20","110","20","5900","200","300","10","79","1","0","0","1290","20","14","15","0","1","1","285","216","22","285","216","22","0","0","0","0","0","106","1","0","0","105","19","72","0","0","72","19","0","1","0","33","26"
"457528","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","29.12.2020 0:00:00","288","29.12.2020 9:25:01","15","5","4","1","32","6","3","3","20","6","3","3","5","68","17","5","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","3","0","0","0","13","0","1890","20","870","20","170","10","17200","200","0","0","0","0","100","10","20400","200","75","5","255","2","0","0","1356","8","4","2","0","1","1","100","86","6","80","80","8","0","0","0","0","0","3","0","0","0","3","0","8","0","0","8","0","0","0","0","5","1"
"457710","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","29.12.2020 0:00:00","289","29.12.2020 10:14:04","24","12","8","10","56","28","18","14","33","22","10","6","0","10","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","5","2","0","0","1","0","8","0","0","0","48","1","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","2500","0","110","0","348","2","0","0","350","10","8","2","2","1","1","193","124","14","130","124","8","0","0","0","0","0","16","9","0","0","7","1","9","0","0","3","1","0","0","0","9","16"
"457877","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","29.12.2020 0:00:00","290","29.12.2020 11:08:38","39","14","8","2","76","45","12","6","76","22","8","4","0","81","52","4","1","0","0","0","0","0","0","0","0","0","0","0","0","16","0","2","0","2","1","13","0","0","0","60","1","270","0","915","15","1810","15","3700","80","50","0","193","0","580","0","18194","90","190","2","126","0","0","0","1024","6","6","4","0","1","1","250","115","9","80","80","9","0","0","40","32","0","4","0","0","0","4","0","5","0","0","5","0","0","0","0","3","5"
"457677","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","29.12.2020 0:00:00","291","29.12.2020 10:08:31","16","16","4","2","39","34","5","5","29","24","4","4","4","26","11","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","6","1","1794","8","5113","11","2493","9","37300","100","0","0","307","0","204","0","16500","100","116","2","250","12","0","0","710","20","5","11","1","1","1","60","40","6","60","40","6","60","0","0","0","0","5","0","5","0","5","1","35","35","0","35","0","0","0","0","10","14"
