"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню"
"367356","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","14.11.2020 0:00:00","282","14.11.2020 10:27:27","60","11","11","4","108","21","21","14","91","15","15","7","0","59","38","2","0","150","150","70","6","5","70","0","1","0","2","0","0","9","2","2","0","5","2","11","0","0","0","8","1","601","10","2812","213","3743","35","27910","320","0","0","0","0","411","0","12100","680","43","4","284","3","0","0","1214","152","8","2","0","1","1"
"367270","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","14.11.2020 0:00:00","283","14.11.2020 9:54:40","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","80","70","20","10","2","20","0","1","0","0","0","0","4","0","1","0","1","0","0","0","0","0","5","0","1130","80","7990","120","2327","60","37550","2000","950","0","268","0","356","0","16615","610","51","4","81","6","0","0","269","0","5","1","1","1","1"
"367087","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","14.11.2020 0:00:00","284","14.11.2020 8:42:43","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","80","80","33","8","5","33","0","4","4","0","0","4","6","0","2","0","4","1","10","0","0","0","13","0","320","40","1680","30","930","10","2700","100","0","0","100","20","100","20","7000","50","410","10","65","0","0","0","0","0","6","3","2","1","1"
"367105","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","14.11.2020 0:00:00","285","14.11.2020 8:49:03","15","10","4","2","25","12","3","3","22","10","3","2","3","126","44","8","0","80","80","19","9","2","19","10","0","0","2","0","0","5","2","2","0","2","0","8","0","0","0","2","1","112","20","998","18","115","25","10092","20","0","0","12","4","145","0","850","100","159","0","35","0","0","0","565","4","5","2","4","1","1"
"367272","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","14.11.2020 0:00:00","286","14.11.2020 9:55:26","23","16","8","2","48","26","15","11","48","26","15","11","0","4","2","0","0","90","90","26","8","11","26","25","0","0","0","0","0","13","0","0","0","1","0","8","0","0","0","6","0","4390","20","1620","40","80","20","89700","200","0","0","0","0","810","30","8000","200","220","20","45","5","0","0","140","0","8","2","0","1","1"
"367359","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","14.11.2020 0:00:00","287","14.11.2020 10:30:51","64","64","17","5","79","79","56","19","57","57","57","14","0","60","22","0","0","285","285","120","22","18","138","0","13","10","0","0","10","8","0","0","0","2","1","17","1","0","0","5","1","9040","120","17600","100","8040","120","7000","400","400","50","440","20","400","40","8700","200","450","10","80","0","0","0","1770","20","14","15","0","1","1"
"367086","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","14.11.2020 0:00:00","288","14.11.2020 8:42:40","15","4","3","1","32","6","3","3","20","6","3","3","5","68","17","5","0","80","20","4","8","2","6","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","1","0","1900","20","1920","40","250","10","11600","200","0","0","0","0","140","10","22400","200","165","5","291","1","0","0","1296","4","4","2","0","1","1"
"367593","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","14.11.2020 0:00:00","289","14.11.2020 13:56:35","24","12","8","10","56","28","18","14","33","22","10","6","0","10","1","0","0","80","80","19","8","1","19","0","1","0","2","0","0","4","2","0","0","1","0","8","0","0","0","7","0","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","3200","0","110","0","230","2","0","0","344","26","7","2","2","1","1"
"367381","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","14.11.2020 0:00:00","290","14.11.2020 10:41:16","39","14","7","2","76","45","12","6","76","22","7","4","0","81","52","4","1","80","80","22","9","2","24","0","0","0","1","0","0","16","1","2","0","2","1","13","0","0","0","11","1","270","0","1750","20","560","10","4340","100","50","0","193","0","580","0","1714","90","288","2","136","0","0","0","1398","12","6","4","0","1","1"
"367310","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","14.11.2020 0:00:00","291","14.11.2020 10:11:11","12","12","3","2","39","30","4","4","29","20","3","3","4","26","10","2","0","60","60","4","6","0","4","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","5","1","964","6","6305","17","1695","12","18600","100","0","0","316","0","204","0","20800","100","114","2","426","10","0","0","1490","24","4","8","1","1","1"
