"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню"
"387876","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","25.11.2020 0:00:00","282","25.11.2020 11:07:17","60","11","11","3","108","21","21","16","71","17","17","7","0","59","38","2","0","150","150","51","6","4","51","0","1","0","2","0","0","9","2","2","0","7","0","11","0","0","0","8","1","540","0","1525","5","3494","6","21380","20","0","0","0","0","406","0","6580","240","110","0","228","2","0","0","2060","66","8","2","0","1","1"
"387617","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","25.11.2020 0:00:00","283","25.11.2020 9:17:54","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","80","70","26","10","5","26","0","1","0","1","0","0","4","1","1","0","1","0","0","0","0","0","5","0","710","20","7720","80","2063","30","31550","1000","950","0","268","0","356","0","13820","300","33","2","77","0","0","0","187","4","5","1","1","1","1"
"387618","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","25.11.2020 0:00:00","284","25.11.2020 9:18:21","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","80","80","44","8","1","44","0","4","1","0","0","1","5","0","2","0","4","2","10","0","0","0","13","0","1840","40","1420","30","820","10","1600","100","0","0","100","20","100","20","5800","50","310","10","65","0","0","0","0","0","6","3","2","1","1"
"387659","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","25.11.2020 0:00:00","285","25.11.2020 9:37:35","15","10","4","2","25","12","3","3","22","10","3","2","3","126","44","8","0","80","80","25","9","3","25","10","0","0","3","0","0","5","3","2","0","2","0","8","0","0","0","2","1","3052","0","1338","8","2373","25","19832","25","0","0","475","5","140","0","4700","100","200","0","32","0","0","0","1413","22","5","2","4","1","1"
"387676","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","25.11.2020 0:00:00","286","25.11.2020 9:43:17","23","16","8","2","48","26","15","11","48","26","15","11","0","4","2","0","0","90","90","26","8","13","26","25","0","0","2","0","0","13","2","0","0","1","0","8","0","0","0","6","0","4430","20","1330","40","225","25","99100","200","0","0","211","9","460","20","5800","200","720","20","75","0","0","0","140","0","8","2","0","1","1"
"387654","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","25.11.2020 0:00:00","287","25.11.2020 9:34:58","64","64","17","5","79","79","56","19","57","57","57","14","0","60","22","0","0","285","285","136","22","19","155","0","13","13","8","0","13","8","8","0","0","2","1","17","1","0","0","25","1","7500","120","16800","100","6140","120","8800","400","450","50","400","20","320","40","9100","200","380","10","79","1","0","0","1600","20","14","15","0","1","1"
"387504","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","25.11.2020 0:00:00","288","25.11.2020 8:20:41","15","5","4","1","32","6","3","3","20","6","3","3","5","68","17","5","0","80","20","7","8","2","9","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","1","0","2560","20","1680","20","140","10","9600","100","0","0","0","0","130","10","20500","200","110","5","240","3","0","0","1252","6","4","2","0","1","1"
"387785","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","25.11.2020 0:00:00","289","25.11.2020 10:26:38","24","12","8","10","56","28","18","14","33","22","10","6","0","10","1","0","0","80","80","11","8","2","11","0","1","1","2","0","1","5","2","0","0","1","0","8","0","0","0","7","1","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","2500","0","110","0","211","3","0","0","408","14","8","2","2","1","1"
"387879","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","25.11.2020 0:00:00","290","25.11.2020 11:10:19","39","14","7","2","76","45","12","6","76","22","7","4","0","81","52","4","1","80","80","10","9","1","11","0","0","0","0","0","0","16","0","2","0","2","1","13","0","0","0","21","1","270","0","1480","20","1425","15","6370","100","50","0","193","0","580","0","914","60","266","2","128","1","0","0","1280","12","6","4","0","1","1"
"387714","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","25.11.2020 0:00:00","291","25.11.2020 9:56:58","12","12","3","2","39","30","4","4","29","20","3","3","4","26","10","2","0","60","60","12","6","0","12","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","5","1","880","7","6119","21","1586","11","20500","100","0","0","316","0","204","0","19700","100","92","2","301","11","0","0","1302","22","4","8","1","1","1"
