"id","ЄДРПОУ","Назва","Адреса","Область","Дата","Пользователь","Внесено","Всі лікарі, які можуть бути задіяні з COVID-19 (усі спеціальності)","Лікарі, які вже працюють з пацієнтами з COVID-19","Лікарів у денній зміні","Лікарів у нічній зміні","Всі медсестри","Медсестри, які вже працюють з пацієнтами з COVID-19","Медсестер у денній зміні","Медсестер у нічній зміні","Всього молодшого медичного персоналу","Молодшого медперсоналу, який вже працюють з пацієнтами з COVID-19","Молодшого медперсоналу у денній зміні","Молодшого медперсоналу у нічній зміні","Іншого персоналу та волонтерів, які задіяні у боротьбі з COVID-19","50-60","60-70","70-80","80+","Загалом, ліжок виділено для госпіталізації хворих з COVID-19","Інфекційних","Зайнято інфекційних","Реанімаційні / Інтенсивної терапії","Зайнято реанімаційні / інтенсивної терапії","Зайнято загалом хворими з COVID-19","Для пере-профілювання","Справних ШВЛ високого класу","Пацієнтів підключених до ШВЛ вис. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ сер. класу, хворих на COVID-19","Пацієнтів підключених до ШВЛ дитячих, хворих на COVID-19","ШВЛ високого класу підключено до пацієнтів","Справних ШВЛ середнього класу","ШВЛ середнього класу підключено до пацієнтів","Справних ШВЛ дитячих (0-6 років)","Пацієнтів підключених до ШВЛ дитячих","Справних портативних (транспортних) ШВЛ","Несправних ШВЛ (усіх видів)","Моніторів пацієнта поліфункціональних","Екстракорпоральних оксигенаторів (ЕКМО)","Екстракорпоральних оксигенаторів (ЕКМО) у використанні ( підключено до пацієнтів)","Апарат  «Штучна нирка» - є чи немає","Кількість кисневих концентраторів","Газоаналізатор крові - є чи немає","Халати ізоляційні одноразові залишок","Халати ізоляційні одноразові використано за добу","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) залишок","Респіратори класу захисту не менше FFP2 (FFP2, FFP3, N-95) витрати на добу","Костюми біозахисту одноразові залишок","Костюми біозахисту одноразові залишок витрати на добу","Маски медичні (хірургічні) одноразові залишок","Маски медичні (хірургічні) одноразові  витрати на добу","Маски медичні багаторазові залишок","Маски медичні багаторазові витрати на добу","Захист очей  (захисні щитки та окуляри) одноразові залишок","Захист очей  (захисні щитки та окуляри) одноразові витрати на добу","Захист очей  (захисні щитки та окуляри) багаторазові залишок","Захист очей  (захисні щитки та окуляри) багаторазові витрати на добу","Рукавички нітрилові нетальковані (нестерильні) залишок","Рукавички нітрилові нетальковані оглядові (нестерильні) витрати на добу","Спиртовмісний антисептик залишок","Спиртовмісний антисептик витрати на добу","швидких тестів залишок","швидких тестів використано за добу","ПЦР залишок","ПЦР використано","Кількість тампонів та стерильних пробірок з транспортним середовищем залишок","Кількість тампонів та стерильних пробірок з транспортним середовищем використано за добу","З них анестезіологів","З них інфекціоністів","Кількість кисневих генераторів до ШВЛ","Рентген апарат","Наявність системи централізованого постачання кисню"
"338180","01982502","Вінницька центральна районна клінічна лікарня","вул. Хмельницьке шосе, 92","Вінницька","29.10.2020 0:00:00","282","29.10.2020 10:31:27","60","9","9","3","108","19","19","14","71","12","12","6","0","59","31","6","0","150","150","52","6","3","52","0","1","0","5","0","0","9","5","2","0","5","2","11","0","0","0","3","1","680","0","537","113","4215","54","18680","270","0","0","4","1","444","1","20930","570","92","12","156","4","0","0","1270","70","8","3","0","1","1"
"338134","01982554","Калинівська центральна районна лікарня","м.Калинівка, вул.Чкалова, 6","Вінницька","29.10.2020 0:00:00","283","29.10.2020 10:10:10","15","7","7","4","38","14","14","12","18","7","7","7","0","15","3","0","0","80","70","22","10","3","22","0","1","0","2","0","0","4","2","1","0","1","0","0","0","0","0","5","0","50","40","5810","60","1910","20","23050","500","950","0","238","20","336","20","14550","300","81","2","192","8","0","0","401","6","5","1","0","1","1"
"338126","01982525","Комунальна організація (установа, заклад) Жмеринська центральна районна лікарня","вул. Київська, 288","Вінницька","29.10.2020 0:00:00","284","29.10.2020 10:06:36","69","12","4","3","145","58","25","23","75","25","13","12","0","76","29","1","0","80","80","26","8","3","26","0","4","3","3","0","4","6","3","2","0","4","0","10","0","0","0","13","0","460","40","1600","30","610","10","4200","100","0","0","100","20","100","20","2200","50","120","10","65","0","0","0","0","0","6","3","2","1","1"
"338049","01982591","Комунальна установа Могилів-Подільська окружна лікарня інтенсивного лікування","вул.Полтавська, буд. 89/2","Вінницька","29.10.2020 0:00:00","285","29.10.2020 9:28:29","15","10","4","2","25","12","3","3","22","10","3","2","3","126","44","8","0","80","80","8","9","0","8","0","0","0","5","0","0","5","5","3","0","2","0","8","0","0","0","2","1","459","20","1382","30","480","20","10472","20","0","0","0","0","145","0","550","50","160","1","44","0","0","0","713","10","5","2","4","1","1"
"338133","01982695","Комунальна установа Хмільницька центральна районна лікарня","вул. Монастирська, буд. 71","Вінницька","29.10.2020 0:00:00","286","29.10.2020 10:10:00","22","1","1","0","32","3","2","1","12","3","2","1","0","2","2","0","0","90","90","20","8","3","20","25","0","0","1","0","0","21","1","0","0","1","3","8","0","0","0","6","0","4520","10","2000","20","50","10","900","150","0","0","0","0","160","20","100","0","130","10","125","0","0","0","140","0","6","3","0","1","1"
"338123","05484126","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","вул. Хмельницьке шосе, буд. 96","Вінницька","29.10.2020 0:00:00","287","29.10.2020 10:05:50","64","64","17","5","79","79","56","19","57","57","57","14","0","60","22","0","0","285","285","131","22","17","148","0","13","7","0","0","7","8","0","0","0","2","1","17","1","0","0","5","1","4840","120","13700","100","8880","120","11000","400","400","50","500","20","100","40","9800","200","100","10","80","0","0","0","1640","20","14","15","0","1","1"
"338042","01982666","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","смт Тростянець, вул. Мічуріна, буд.60","Вінницька","29.10.2020 0:00:00","288","29.10.2020 9:25:05","15","3","2","1","32","6","3","3","20","6","3","3","5","5","3","0","0","80","15","4","8","0","4","0","0","0","0","0","0","5","0","1","0","0","2","0","0","0","0","1","0","1520","20","1880","20","150","10","13800","200","0","0","0","0","150","10","14600","200","190","5","376","5","0","0","1406","0","4","2","0","1","1"
"338075","33868196","КНП ""Шаргородська центральна районна лікарня""","23500, Вінницька обл., Шаргородський р-н, м.Шаргород, вул. Чорновола, 9","Вінницька","29.10.2020 0:00:00","289","29.10.2020 9:43:23","24","12","8","10","56","36","20","16","33","29","16","13","0","10","1","0","0","80","80","9","8","2","9","0","1","1","1","0","1","4","1","0","0","1","0","8","0","0","0","7","0","2340","58","1500","58","990","12","6050","116","400","0","0","0","106","58","3200","0","110","10","275","3","0","0","386","16","7","2","0","1","1"
"338206","35814729","КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","м. Козятин, вул. Винниченка,буд.  9","Вінницька","29.10.2020 0:00:00","290","29.10.2020 10:47:14","38","5","5","2","76","13","9","6","76","9","7","3","0","81","52","4","1","80","80","17","9","1","18","0","0","0","1","0","0","16","1","2","0","2","1","13","0","0","0","10","1","300","0","1290","40","430","10","2940","100","50","0","193","0","580","0","544","80","320","2","141","0","0","0","1744","20","6","4","0","1","1"
"338378","34004453","Комунальний заклад Вінницька обласна клінічна дитяча інфекційна лікарня","вул. Київська, 68","Вінницька","29.10.2020 0:00:00","291","29.10.2020 12:41:44","12","12","3","2","40","30","4","4","29","20","3","3","4","26","11","2","0","60","60","11","6","0","11","0","3","0","0","0","0","2","0","1","0","1","0","4","0","0","0","5","1","1072","20","6579","30","1866","20","19850","50","0","0","328","0","204","0","22400","100","52","4","83","15","0","0","1730","40","4","8","1","1","1"
"338559","03398983","Волинська обласна інфекційна лікарня","вул. Шевченка, 30","Волинська","29.10.2020 0:00:00","292","29.10.2020 15:02:02","25","10","8","2","86","18","10","8","61","15","9","6","20","47","26","6","0","167","161","88","6","4","92","0","3","0","0","0","0","3","0","0","0","2","2","13","0","0","0","10","1","0","0","10942","109","7869","162","86218","387","0","0","1214","12","456","1","18930","410","45","4","0","0","0","0","7986","52","8","15","2","1","1"
"338461","01983163","Волинська обласна клінічна лікарня","просп. Грушевського, буд.21","Волинська","29.10.2020 0:00:00","293","29.10.2020 13:43:18","59","29","20","9","97","53","35","18","83","49","33","16","38","162","8","0","0","177","165","116","12","9","125","0","7","5","0","0","5","8","0","0","0","1","1","18","0","0","0","8","1","2920","130","1425","54","5779","10","2360","400","0","0","1606","0","0","0","4532","1140","139","10","0","0","0","0","5100","85","18","0","8","1","1"
"338142","01982940","Ковельське міськрайонне територіальне медичне об'єднання","вул.Олени Пчілки, 4","Волинська","29.10.2020 0:00:00","295","29.10.2020 10:12:46","254","33","23","10","260","66","46","20","64","20","15","5","19","210","59","17","1","106","96","29","10","6","35","20","1","0","4","0","0","7","4","1","0","1","2","10","0","0","1","11","1","6680","50","6429","20","2930","5","16000","400","1736","0","355","0","570","0","77000","1000","780","20","58","2","0","0","7973","88","16","3","0","1","1"
